Date,act_heat_index,act_heat_index_smart,animal_activity,heat_index,low_pass_over_activity,percentile60_of_5day_temp,stomach_temp,temp_dec_index,temp_height_index,temp_inc_index,temp_without_drink_cycles,CowID,temp_without_drink_cycles_std,Session,AnimalId,Activity(steps/hr),ActivityAverage(steps/hr),ActivityDeviation(%),Yield(gr),YieldAverage(gr),YieldDeviation(%),Fat(%),FatAverage(%),FatDeviation(%),Protein(%),ProteinAverage(%),ProteinDeviation(%),Conductivity,ConductivityAverage,ConductivityDeviation(%),Lactose(%),LactoseAverage(%),LactoseDeviation(%),SCC (*1000/ml),SCCAverage (*1000/ml),SCCDeviation(%),AMT(seconds),AMTAverage(seconds),AMTDeviation(%),Blood(%),BloodAverage(%),BloodDeviation(%),ProductionRate(gr/hr),ProductionRateAverage(gr/hr),ProductionRateDeviation(%),RestBout(#),RestBoutAverage(#),RestBoutDeviation(%),Restlessness,RestlessnessAverage,RestlessnessDeviation(%),RestPerBout(min),RestPerBoutAverage(min),RestPerBoutDeviation(%),RestRatio(%),RestRatioAverage(%),RestRatioDeviation(%),RestTime(min),RestTimeAverage(min),RestTimeDeviation(%),Weight(gr),WeightAverage(gr),WeightDeviation(%)
2018-09-29,7.784819444444442,3.786833333333333,5.042638888888888,,11.503305555555553,39.71180555555543,,0.0,-0.27258333333333334,0.054104166666666655,39.43902777777777,9923,0.3906732926636032,3,9923,133.66666666666666,151.66666666666666,-12.666666666666666,49703.0,46556.0,6.666666666666667,3.706666666666667,4.1433333333333335,-10.333333333333334,2.8066666666666666,2.7999999999999994,0.0,10.700000000000001,9.133333333333333,17.0,4.430000000000001,4.543333333333333,-2.3333333333333335,4350549.333333333,2837713.6666666665,5061.666666666667,232.66666666666666,206.33333333333334,13.0,0.05000000000000001,0.02,227.66666666666666,2047.6666666666667,1940.6666666666667,5.666666666666667,3.0,1.3333333333333333,150.0,40.333333333333336,146.33333333333334,-53.666666666666664,56.0,70.0,-21.666666666666668,34.0,24.666666666666668,44.333333333333336,163.33333333333334,116.66666666666667,46.333333333333336,,,
2018-09-30,5.736222222222221,1.8539097222222227,5.025097222222225,,11.968208333333331,39.73604166666663,,0.05870833333333334,-0.31214583333333334,0.012944444444444444,39.423472222222195,9923,0.4334111235538422,3,9923,143.33333333333334,147.66666666666666,-4.333333333333333,52014.0,48671.0,6.666666666666667,3.58,4.013333333333333,-10.666666666666666,2.89,2.813333333333333,3.0,10.800000000000002,9.266666666666667,17.0,4.259999999999999,4.516666666666667,-5.666666666666667,4302590.0,3191456.6666666665,32.0,218.0,212.33333333333334,2.3333333333333335,0.043333333333333335,0.02666666666666667,66.66666666666667,2189.3333333333335,2018.3333333333333,8.333333333333334,2.3333333333333335,1.6666666666666667,33.333333333333336,68.33333333333333,141.66666666666666,-44.333333333333336,63.333333333333336,67.0,-6.0,26.333333333333332,25.666666666666668,-3.6666666666666665,128.0,121.66666666666667,-2.3333333333333335,,,
2018-10-01,4.977319444444446,2.265069444444446,4.896034722222222,,11.389152777777785,39.72805555555547,,0.05433333333333334,-0.17324305555555558,0.04306944444444442,39.55437500000002,9923,0.43386975382793236,3,9923,137.33333333333334,148.33333333333334,-7.0,51104.0,49543.0,3.3333333333333335,3.8633333333333333,3.8433333333333333,0.6666666666666666,2.9299999999999997,2.81,4.333333333333333,11.0,9.733333333333333,12.666666666666666,4.433333333333333,4.48,-1.0,7652567.333333333,6393493.666666667,94.66666666666667,232.0,219.66666666666666,6.0,0.05333333333333334,0.043333333333333335,21.666666666666668,2129.6666666666665,2051.3333333333335,4.333333333333333,3.3333333333333335,1.6666666666666667,133.33333333333334,85.0,142.33333333333334,-1.0,37.666666666666664,65.66666666666667,-38.666666666666664,21.666666666666668,25.333333333333332,-12.333333333333334,103.33333333333333,121.66666666666667,-12.0,,,
2018-10-02,1.4140555555555556,0.2831944444444443,4.815534722222221,,11.278958333333335,39.76618055555562,,0.004125,-0.15209722222222222,0.15122916666666672,39.613819444444424,9923,0.32659291512015737,1,9923,131.0,163.0,-20.0,15635.0,17743.0,-12.0,3.55,3.84,-8.0,2.64,2.82,-6.0,10.7,10.2,5.0,4.47,4.44,1.0,3349.0,12822492.0,-100.0,222.0,237.0,-6.0,0.05,0.05,0.0,1988.0,2281.0,-13.0,2.0,2.0,0.0,38.0,73.0,-48.0,69.0,64.0,8.0,29.0,23.0,26.0,138.0,108.0,28.0,,,
2018-10-03,9.160465277777782,4.212208333333335,5.119409722222222,,12.122104166666668,39.7826388888889,,0.0,-0.11801388888888899,0.02311805555555556,39.664513888888884,9923,0.27250413446818333,3,9923,144.66666666666666,138.33333333333334,6.333333333333333,52885.0,50882.0,4.333333333333333,3.706666666666667,3.7600000000000002,-1.3333333333333333,2.99,2.856666666666667,4.666666666666667,10.600000000000001,10.5,0.6666666666666666,4.3066666666666675,4.403333333333333,-2.3333333333333335,20408101.666666668,7949469.666666667,621.0,227.33333333333334,226.66666666666666,0.3333333333333333,0.07333333333333335,0.04666666666666667,58.333333333333336,2149.3333333333335,2117.3333333333335,1.6666666666666667,1.3333333333333333,2.3333333333333335,-44.333333333333336,79.66666666666667,61.666666666666664,55.666666666666664,64.0,67.33333333333333,-3.0,18.0,27.333333333333332,-30.666666666666668,86.0,133.66666666666666,-31.666666666666668,,,
2018-10-04,3.2574236111111117,0.8870277777777774,5.048840277777781,,11.891499999999995,39.810277777777735,,0.0,-0.10399305555555552,0.11934027777777782,39.7061805555556,9923,0.3810585119759666,3,9923,120.0,137.33333333333334,-13.0,47668.0,51452.0,-7.333333333333333,2.3766666666666665,3.7133333333333334,-36.666666666666664,1.9833333333333332,2.8733333333333335,-31.0,11.333333333333334,10.699999999999998,6.0,2.8166666666666664,4.373333333333334,-36.0,39595719.0,6871095.666666667,319.6666666666667,228.33333333333334,229.66666666666666,-0.3333333333333333,0.05333333333333334,0.04666666666666667,6.666666666666667,2016.3333333333333,2143.0,-5.666666666666667,2.0,2.3333333333333335,-22.333333333333332,56.0,59.0,-10.0,67.66666666666667,65.0,8.333333333333334,26.0,28.0,-11.666666666666666,120.33333333333333,135.0,-15.666666666666666,,,
2018-10-05,0.3705000000000001,0.04343055555555556,4.814333333333334,,11.37978472222222,39.8090277777778,,0.07662500000000001,-0.502118055555556,0.02318055555555555,39.306597222222244,9923,0.3582263284152285,3,9923,129.66666666666666,134.0,-3.3333333333333335,51323.0,51719.0,-0.6666666666666666,3.3533333333333335,3.716666666666667,-9.666666666666666,2.8699999999999997,2.893333333333333,-1.0,11.666666666666666,10.666666666666666,9.333333333333334,4.246666666666667,4.36,-2.6666666666666665,4777605.666666667,6746370.666666667,29.333333333333332,222.33333333333334,229.33333333333334,-3.0,0.10333333333333333,0.049999999999999996,105.0,2135.3333333333335,2145.3333333333335,-0.6666666666666666,2.3333333333333335,2.3333333333333335,-5.666666666666667,102.33333333333333,55.333333333333336,55.666666666666664,44.0,63.0,-28.666666666666668,23.666666666666668,27.333333333333332,-25.0,123.0,132.33333333333334,-20.666666666666668,,,
2018-10-06,0.628375,0.05563194444444445,4.765784722222224,,11.136840277777772,39.816597222222185,,0.074,-0.20113888888888887,0.06435416666666666,39.6154166666667,9923,0.3795560067206962,3,9923,115.66666666666667,132.66666666666666,-13.0,49435.0,51106.0,-3.3333333333333335,2.433333333333333,3.61,-34.333333333333336,1.9533333333333334,2.8333333333333335,-32.666666666666664,12.166666666666666,10.766666666666666,13.333333333333334,2.8466666666666662,4.243333333333333,-34.666666666666664,19234.333333333332,7130122.333333333,-99.66666666666667,235.33333333333334,229.0,3.0,0.07,0.05333333333333334,16.666666666666668,2064.6666666666665,2126.0,-2.6666666666666665,2.0,2.3333333333333335,-11.0,74.0,62.666666666666664,24.333333333333332,57.333333333333336,59.0,-6.666666666666667,19.0,27.0,-28.333333333333332,93.33333333333333,133.66666666666666,-31.333333333333332,,,
2018-10-07,9.439145833333338,5.18404861111111,5.111472222222222,,12.162465277777779,39.814513888888854,,0.03237500000000001,-0.25565972222222233,0.10674305555555555,39.55881944444442,9923,0.39532671542277864,3,9923,121.66666666666667,130.33333333333334,-7.0,49103.0,50778.0,-3.3333333333333335,3.2600000000000002,3.5666666666666664,-8.333333333333334,2.91,2.84,2.6666666666666665,11.966666666666667,10.966666666666667,9.0,4.166666666666667,4.236666666666667,-1.6666666666666667,7933725.333333333,3694193.6666666665,50.333333333333336,211.66666666666666,227.33333333333334,-6.666666666666667,0.10333333333333333,0.05666666666666667,81.33333333333333,2040.6666666666667,2111.3333333333335,-3.3333333333333335,3.3333333333333335,2.3333333333333335,39.0,42.666666666666664,65.66666666666667,-34.666666666666664,44.333333333333336,57.333333333333336,-23.333333333333332,27.666666666666668,25.666666666666668,9.666666666666666,150.0,124.0,18.333333333333332,,,
2018-10-08,2.6936180555555556,1.090722222222222,4.726659722222219,,11.098937499999996,39.81458333333329,,0.035208333333333335,-0.2201875000000001,0.04750694444444444,39.59423611111113,9923,0.35545416602061847,3,9923,114.0,129.33333333333334,-11.666666666666666,52760.0,50740.0,4.0,2.436666666666667,3.4499999999999997,-33.333333333333336,1.9566666666666668,2.776666666666667,-33.0,12.133333333333333,11.199999999999998,8.333333333333334,2.8733333333333335,4.096666666666667,-33.333333333333336,5622584.666666667,3040988.6666666665,9447.333333333334,241.0,227.66666666666666,6.0,0.08,0.06333333333333334,5.666666666666667,2166.3333333333335,2113.6666666666665,2.6666666666666665,1.6666666666666667,2.3333333333333335,-27.666666666666668,49.666666666666664,66.0,-16.666666666666668,65.66666666666667,55.333333333333336,19.0,23.0,25.0,-3.0,109.33333333333333,122.66666666666667,-3.6666666666666665,,,
